Disease,Category,Symptoms,Vaccine_Available,Vaccine_Name,Reason
Neisseria gonorrhoeae,Bacteria,fever; stiffness; back pain; weakness; weight loss; fatigue,No,,Rapid antibiotic resistance and immune evasion
Clostridium difficile,Bacteria,night sweats; stiffness; chills; weight loss; weakness; malaise,No,,Bacterial toxin-mediated disease
Vibrio cholerae,Bacteria,chills; swelling; weight loss; fever; malaise,Yes,Cholera Vaccine,
Human Immunodeficiency Virus,Virus,headache; malaise; night sweats; fatigue; fever,No,,Vaccine development not prioritized
Obsessive Compulsive Disorder,Disorder,malaise; fever; night sweats; chills; weight loss; fatigue,No,,Vaccine development not prioritized
Bipolar Disorder,Disorder,fever; chills; malaise; weight loss,No,,Mental health condition
Swine Flu,Disease,fever; cough; runny nose,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Salmonella,Bacteria,muscle pain; chills; fever; weight loss; malaise,Limited,Typhoid Vaccine,Limited to specific serotypes
Rabies,Disease,chills; fever; malaise; fatigue; weight loss,Yes,Rabies Vaccine,
Herpes Simplex Virus,Virus,redness; hair loss; rash; dry skin,No,,Vaccine development not prioritized
Influenza Viruses,Virus,fatigue; headache; seizures; memory loss; dizziness; tingling,No,,Vaccine development not prioritized
Treponema pallidum,Bacteria,malaise; back pain; weight loss,No,,Complex immune evasion mechanisms
Hepatitis Viruses,Virus,tingling; night sweats; fever; fatigue; numbness; dizziness,No,,Vaccine development not prioritized
Zika Virus,Disease,fever; fatigue; weight loss; malaise; chills; night sweats,No,,Ongoing research with no approved vaccine yet due to multiple strains
Hepatitis Viruses,Virus,fatigue; confusion; fever; night sweats,No,,Vaccine development not prioritized
Acinetobacter baumannii,Bacteria,chills; back pain; swelling; night sweats,No,,Hospital-acquired infection with multiple strains
Avian Flu,Disease,cough; runny nose; chest pain,No,,Rapid mutation and limited human transmission
Yersinia pestis,Bacteria,chills; weakness; night sweats; muscle pain,No,,Rare disease with limited research
Treponema pallidum,Bacteria,fatigue; chills; stiffness; weakness,No,,Complex immune evasion mechanisms
Staphylococcus aureus,Bacteria,fatigue; weight loss; back pain; joint pain; malaise,No,,Bacteria has multiple strains and toxin variants
Clostridium botulinum,Bacteria,weight loss; joint pain; weakness; night sweats,No,,"Toxin-mediated disease, limited cases"
Shingles,Disease,malaise; weight loss; fever; fatigue; chills,No,,Vaccine development not prioritized
Cytomegalovirus,Virus,memory loss; dizziness; night sweats; headache; malaise; numbness,No,,Common virus with complex immune interactions
Swine Flu,Disease,sore throat; cough; chest pain,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Diphtheria,Disease,night sweats; chills; weight loss,Yes,Tdap Vaccine,
Ebola,Disease,weight loss; fatigue; night sweats; fever; chills,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Obsessive Compulsive Disorder,Disorder,fatigue; weight loss; fever,No,,Vaccine development not prioritized
Lyme Disease,Disease,night sweats; chills; malaise; fever,No,,Previous vaccine withdrawn due to safety concerns and low demand
SARS,Disease,night sweats; chills; malaise,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Mycobacterium leprae,Bacteria,malaise; swelling; weakness; fever; chills,No,,Limited global incidence
West Nile Virus,Virus,numbness; fatigue; fatigue; memory loss; headache; malaise,No,,Limited human cases and complex transmission cycle
Chickenpox,Disease,fever; malaise; fatigue,Yes,Varicella Vaccine,
Arthritis,Disorder,back pain; joint pain; swelling; muscle pain,No,,Autoimmune and degenerative joint condition
Zika Virus,Virus,numbness; confusion; chills; fatigue,No,,Ongoing research with no approved vaccine yet due to multiple strains
Schizophrenia,Disorder,fever; malaise; fatigue,No,,Severe mental health disorder
Adenovirus,Virus,night sweats; seizures; memory loss,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Mycobacterium tuberculosis,Bacteria,fatigue; wheezing; sore throat; runny nose; shortness of breath; chest pain,Yes,BCG Vaccine,
Hepatitis A,Disease,chills; malaise; night sweats; weight loss; fatigue,Yes,Hepatitis A Vaccine,
Varicella-Zoster Virus,Virus,weight loss; dizziness; fatigue,No,,Vaccine development not prioritized
Vibrio cholerae,Bacteria,fever; weight loss; joint pain; swelling; back pain,Yes,Cholera Vaccine,
Hepatitis A,Disease,fever; chills; night sweats; fatigue; malaise,Yes,Hepatitis A Vaccine,
MERS,Disease,chills; fatigue; malaise; weight loss,No,,Limited outbreaks and research funding constraints
Pertussis,Disease,malaise; fever; chills; night sweats,Yes,Tdap Vaccine,
Meningitis,Disease,night sweats; malaise; fatigue; chills; weight loss; fever,Yes,Meningococcal Vaccine,
Francisella tularensis,Bacteria,fever; stiffness; joint pain; weight loss; weakness; muscle pain,No,,Rare bacterial infection
Encephalitis,Disease,fever; night sweats; chills; fatigue,No,,Vaccine development not prioritized
Vibrio cholerae,Bacteria,joint pain; back pain; weight loss; muscle pain,Yes,Cholera Vaccine,
Malaria,Disease,fatigue; weight loss; malaise; fever; night sweats,No,,Complex parasite lifecycle and multiple strains
Dengue Virus,Virus,fever; fatigue; dizziness,No,,Vaccine development not prioritized
Anxiety,Disorder,weight loss; fever; chills; night sweats; malaise,No,,Mental health disorder
Multiple Sclerosis,Disorder,weight loss; night sweats; fever; malaise; chills; fatigue,No,,Autoimmune neurological disease
Influenza Viruses,Virus,weight loss; tingling; malaise,No,,Vaccine development not prioritized
Salmonella,Bacteria,chills; malaise; back pain; fever; night sweats,Limited,Typhoid Vaccine,Limited to specific serotypes
Bacillus anthracis,Bacteria,fatigue; stiffness; swelling; joint pain; weakness,Yes,Anthrax Vaccine,
Adrenal Disorders,Disorder,weight loss; night sweats; fatigue; chills,No,,Endocrine disorders
Influenza Viruses,Virus,dizziness; fever; fatigue; memory loss,No,,Vaccine development not prioritized
Alzheimer's Disease,Disorder,malaise; fever; fatigue; chills; night sweats; weight loss,No,,Neurodegenerative disease with complex causes
Influenza Viruses,Virus,memory loss; chills; dizziness; tingling,No,,Vaccine development not prioritized
SARS,Disease,chills; night sweats; fever; fatigue; weight loss,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Plague,Disease,fever; chills; weight loss,No,,Vaccine development not prioritized
Human Immunodeficiency Virus,Virus,headache; weight loss; night sweats; numbness; memory loss; fatigue,No,,Vaccine development not prioritized
Shingles,Disease,malaise; fatigue; night sweats; weight loss,No,,Vaccine development not prioritized
Hepatitis B,Disease,chills; malaise; night sweats; weight loss,Yes,Hepatitis B Vaccine,
Parainfluenza Virus,Virus,headache; confusion; chills; fatigue; seizures,No,,Vaccine development not prioritized
Treponema pallidum,Bacteria,swelling; weakness; chills; malaise; fever,No,,Complex immune evasion mechanisms
Sleep Disorders,Disorder,malaise; fever; weight loss; chills,No,,Various causes including lifestyle and medical conditions
Avian Flu,Disease,fatigue; fever; cough,No,,Rapid mutation and limited human transmission
Encephalitis,Disease,malaise; fatigue; chills; weight loss,No,,Vaccine development not prioritized
West Nile Virus,Virus,confusion; fatigue; memory loss; dizziness; tingling,No,,Limited human cases and complex transmission cycle
Diphtheria,Disease,fever; night sweats; malaise; weight loss; chills; fatigue,Yes,Tdap Vaccine,
Chikungunya Virus,Virus,confusion; fatigue; tingling,No,,Vaccine development not prioritized
Depression,Disorder,fever; chills; malaise; weight loss; night sweats,No,,Mental health condition with multiple causes
Mycobacterium leprae,Bacteria,swelling; joint pain; stiffness; chills; muscle pain; malaise,No,,Limited global incidence
West Nile Virus,Virus,seizures; fatigue; numbness; fever,No,,Limited human cases and complex transmission cycle
Avian Flu,Disease,cough; runny nose; shortness of breath; sore throat; fever,No,,Rapid mutation and limited human transmission
Human Papillomavirus,Virus,redness; dry skin; itching; blisters; rash; hair loss,Yes,HPV Vaccine,
Campylobacter,Bacteria,muscle pain; stiffness; weakness,No,,Complex bacterial structure
Parkinson's Disease,Disorder,fever; malaise; chills; weight loss,No,,Progressive neurological disorder
Yersinia pestis,Bacteria,fever; weakness; weight loss; back pain; joint pain,No,,Rare disease with limited research
Anxiety,Disorder,chills; fever; weight loss; malaise; fatigue,No,,Mental health disorder
Chronic Obstructive Pulmonary Disease,Disorder,malaise; night sweats; chills; weight loss; fatigue,No,,Vaccine development not prioritized
Zika Virus,Virus,chills; fatigue; headache,No,,Ongoing research with no approved vaccine yet due to multiple strains
Alzheimer's Disease,Disorder,fatigue; night sweats; weight loss; malaise,No,,Neurodegenerative disease with complex causes
Varicella-Zoster Virus,Virus,confusion; headache; fever; numbness,No,,Vaccine development not prioritized
Anthrax,Disease,chills; night sweats; malaise; weight loss; fever,No,,Vaccine development not prioritized
Stroke,Disorder,weight loss; chills; fever; malaise; night sweats,No,,"Caused by various risk factors, not a single pathogen"
Varicella-Zoster Virus,Virus,night sweats; dizziness; fatigue; memory loss; chills; fatigue,No,,Vaccine development not prioritized
Hepatitis A,Disease,weight loss; fatigue; night sweats,Yes,Hepatitis A Vaccine,
Varicella-Zoster Virus,Virus,confusion; seizures; fatigue; tingling,No,,Vaccine development not prioritized
Arthritis,Disorder,weakness; muscle pain; stiffness; swelling,No,,Autoimmune and degenerative joint condition
Acinetobacter baumannii,Bacteria,stiffness; muscle pain; swelling; weakness; back pain,No,,Hospital-acquired infection with multiple strains
Streptococcus pneumoniae,Bacteria,runny nose; wheezing; fatigue,Yes,Pneumococcal Vaccine,
Shingles,Disease,fever; night sweats; fatigue; weight loss; malaise; chills,No,,Vaccine development not prioritized
Malaria,Disease,malaise; fever; chills; weight loss,No,,Complex parasite lifecycle and multiple strains
Bipolar Disorder,Disorder,night sweats; chills; weight loss; malaise; fatigue; fever,No,,Mental health condition
Treponema pallidum,Bacteria,fever; malaise; night sweats; fatigue; weakness; stiffness,No,,Complex immune evasion mechanisms
Legionella pneumophila,Bacteria,weight loss; back pain; joint pain; fatigue; malaise; fever,No,,Environmental bacterium with limited human cases
Schizophrenia,Disorder,chills; malaise; weight loss; fatigue; fever; night sweats,No,,Severe mental health disorder
Hepatitis A,Disease,chills; fever; fatigue; weight loss,Yes,Hepatitis A Vaccine,
Japanese Encephalitis Virus,Virus,chills; fever; headache; numbness,No,,Vaccine development not prioritized
Zika Virus,Disease,weight loss; fatigue; chills; malaise; fever,No,,Ongoing research with no approved vaccine yet due to multiple strains
Swine Flu,Disease,wheezing; chest pain; sore throat; shortness of breath; fatigue; fever,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Avian Flu,Disease,sore throat; wheezing; shortness of breath; runny nose; fatigue,No,,Rapid mutation and limited human transmission
Monkeypox,Disease,chills; malaise; night sweats,No,,Vaccine development not prioritized
Meningitis,Disease,malaise; fever; night sweats; weight loss,Yes,Meningococcal Vaccine,
Obsessive Compulsive Disorder,Disorder,night sweats; malaise; fever; chills; fatigue; weight loss,No,,Vaccine development not prioritized
Epilepsy,Disorder,chills; malaise; night sweats; weight loss,No,,Neurological disorder from various causes
Francisella tularensis,Bacteria,back pain; chills; swelling,No,,Rare bacterial infection
Anxiety,Disorder,weight loss; fever; night sweats; chills; malaise,No,,Mental health disorder
Hepatitis A,Disease,fever; chills; fatigue,Yes,Hepatitis A Vaccine,
Vibrio cholerae,Bacteria,muscle pain; swelling; night sweats,Yes,Cholera Vaccine,
Respiratory Syncytial Virus,Virus,fever; runny nose; wheezing; fatigue; sore throat,No,,Previous vaccine trials showed safety concerns
Neisseria meningitidis,Bacteria,back pain; swelling; joint pain; stiffness; fatigue,Yes,Meningococcal Vaccine,
SARS,Disease,malaise; fever; chills; night sweats; fatigue; weight loss,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Klebsiella pneumoniae,Bacteria,cough; runny nose; shortness of breath; wheezing; fever; sore throat,No,,Antibiotic-resistant hospital pathogen
Rotavirus,Virus,headache; numbness; fatigue; confusion; seizures; weight loss,Yes,Rotavirus Vaccine,
Staphylococcus aureus,Bacteria,stiffness; fever; malaise,No,,Bacteria has multiple strains and toxin variants
Multiple Sclerosis,Disorder,chills; fatigue; fever; night sweats,No,,Autoimmune neurological disease
Cholera,Disease,bloating; diarrhea; constipation,Yes,Cholera Vaccine,
Multiple Sclerosis,Disorder,fatigue; chills; night sweats; weight loss,No,,Autoimmune neurological disease
Influenza,Disease,cough; chest pain; runny nose; wheezing; shortness of breath; sore throat,Yes,Influenza Vaccine,
Tetanus,Disease,fever; chills; fatigue; weight loss; malaise,Yes,Tdap Vaccine,
Norovirus,Virus,headache; tingling; fever,No,,Rapidly evolving virus with many strains
Obsessive Compulsive Disorder,Disorder,weight loss; chills; fatigue; malaise; fever; night sweats,No,,Vaccine development not prioritized
Monkeypox,Disease,weight loss; fatigue; fever,No,,Vaccine development not prioritized
Anxiety,Disorder,night sweats; chills; malaise,No,,Mental health disorder
Tuberculosis,Disease,fatigue; malaise; night sweats,Yes,BCG Vaccine,
Cytomegalovirus,Virus,fatigue; confusion; malaise,No,,Common virus with complex immune interactions
Streptococcus pneumoniae,Bacteria,fever; cough; sore throat; runny nose,Yes,Pneumococcal Vaccine,
Measles,Disease,weight loss; fever; malaise; fatigue,Yes,MMR Vaccine,
Tuberculosis,Disease,night sweats; weight loss; malaise; fatigue,Yes,BCG Vaccine,
Influenza Viruses,Virus,numbness; memory loss; fever,No,,Vaccine development not prioritized
Borrelia burgdorferi,Bacteria,weakness; weight loss; joint pain; fever; night sweats,No,,Previous vaccine withdrawn due to concerns
Hepatitis Viruses,Virus,fever; headache; chills,No,,Vaccine development not prioritized
Escherichia coli,Bacteria,fatigue; fever; malaise,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Francisella tularensis,Bacteria,muscle pain; weight loss; swelling; fatigue; chills,No,,Rare bacterial infection
Clostridium difficile,Bacteria,fatigue; swelling; malaise; joint pain; muscle pain,No,,Bacterial toxin-mediated disease
Meningitis,Disease,weight loss; chills; malaise,Yes,Meningococcal Vaccine,
Post-Traumatic Stress Disorder,Disorder,weight loss; fever; night sweats,No,,Vaccine development not prioritized
Pseudomonas aeruginosa,Bacteria,chills; joint pain; swelling; weight loss,No,,Opportunistic pathogen in immunocompromised patients
Measles,Disease,fever; chills; malaise; night sweats,Yes,MMR Vaccine,
Chikungunya Virus,Virus,fatigue; headache; chills,No,,Vaccine development not prioritized
Tularemia,Disease,fever; weight loss; fatigue,No,,Vaccine development not prioritized
Depression,Disorder,chills; fatigue; malaise; weight loss,No,,Mental health condition with multiple causes
Dengue Virus,Virus,memory loss; fatigue; headache; numbness,No,,Vaccine development not prioritized
Diphtheria,Disease,chills; fever; malaise; weight loss; fatigue,Yes,Tdap Vaccine,
Polio,Disease,fatigue; fever; chills,Yes,Polio Vaccine,
Acinetobacter baumannii,Bacteria,weight loss; muscle pain; swelling; chills,No,,Hospital-acquired infection with multiple strains
Hepatitis C,Disease,night sweats; malaise; fever; fatigue; chills; weight loss,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
Rhinovirus,Virus,seizures; fatigue; dizziness; chills; tingling,No,,Over 100 serotypes make vaccine impractical
Hypertension,Disorder,night sweats; fatigue; weight loss; fever,No,,"Lifestyle and genetic factors, not infectious"
Klebsiella pneumoniae,Bacteria,wheezing; shortness of breath; cough; fever; sore throat,No,,Antibiotic-resistant hospital pathogen
Mycobacterium leprae,Bacteria,malaise; night sweats; weakness; chills,No,,Limited global incidence
Swine Flu,Disease,cough; shortness of breath; runny nose; wheezing; fatigue; fever,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Respiratory Syncytial Virus,Virus,chest pain; cough; runny nose,No,,Previous vaccine trials showed safety concerns
Stroke,Disorder,weight loss; night sweats; chills; fatigue; fever; malaise,No,,"Caused by various risk factors, not a single pathogen"
Alzheimer's Disease,Disorder,night sweats; chills; fever; fatigue,No,,Neurodegenerative disease with complex causes
Chikungunya Virus,Virus,numbness; confusion; fatigue,No,,Vaccine development not prioritized
Pertussis,Disease,fever; night sweats; fatigue; weight loss,Yes,Tdap Vaccine,
Staphylococcus aureus,Bacteria,malaise; muscle pain; chills; night sweats,No,,Bacteria has multiple strains and toxin variants
Tick-Borne Encephalitis Virus,Virus,seizures; dizziness; chills,No,,Vaccine development not prioritized
Eating Disorders,Disorder,malaise; weight loss; chills; fatigue; night sweats; fever,No,,Mental health and behavioral disorders
Enterococcus faecalis,Bacteria,swelling; malaise; night sweats; weakness,No,,Common hospital-acquired infection
Monkeypox,Disease,malaise; weight loss; fatigue,No,,Vaccine development not prioritized
Monkeypox,Disease,chills; malaise; night sweats,No,,Vaccine development not prioritized
Hepatitis C,Disease,fatigue; night sweats; weight loss,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
Mycobacterium tuberculosis,Bacteria,fatigue; runny nose; sore throat; shortness of breath,Yes,BCG Vaccine,
Bipolar Disorder,Disorder,malaise; night sweats; chills,No,,Mental health condition
Rubella,Disease,chills; fatigue; weight loss; malaise,Yes,MMR Vaccine,
Epstein-Barr Virus,Virus,seizures; chills; confusion; headache,No,,"Causes lifelong infection, vaccine development challenging"
Tularemia,Disease,night sweats; weight loss; fever,No,,Vaccine development not prioritized
Anthrax,Disease,night sweats; weight loss; chills; malaise,No,,Vaccine development not prioritized
Zika Virus,Virus,numbness; fever; weight loss; night sweats; tingling,No,,Ongoing research with no approved vaccine yet due to multiple strains
Acinetobacter baumannii,Bacteria,chills; night sweats; fever; weight loss; malaise,No,,Hospital-acquired infection with multiple strains
Rotavirus,Virus,fatigue; dizziness; tingling; headache; chills; memory loss,Yes,Rotavirus Vaccine,
Avian Flu,Disease,fever; wheezing; shortness of breath,No,,Rapid mutation and limited human transmission
Smallpox,Disease,chills; malaise; fatigue; weight loss; fever,No,,Vaccine development not prioritized
Dengue,Disease,chills; night sweats; fatigue; fever; weight loss; malaise,Limited,Dengvaxia,Vaccine available but restricted to specific populations due to safety concerns
West Nile Virus,Disease,weight loss; fatigue; night sweats; malaise; fever,No,,Limited human cases and complex transmission cycle
Diabetes Mellitus,Disorder,weight loss; night sweats; fatigue,No,,Vaccine development not prioritized
Tularemia,Disease,night sweats; weight loss; malaise; chills; fatigue; fever,No,,Vaccine development not prioritized
MERS,Disease,weight loss; fever; malaise; chills; night sweats; fatigue,No,,Limited outbreaks and research funding constraints
Human Papillomavirus,Virus,rash; hair loss; redness,Yes,HPV Vaccine,
Vibrio cholerae,Bacteria,stiffness; back pain; swelling; joint pain; chills,Yes,Cholera Vaccine,
Vibrio cholerae,Bacteria,weight loss; joint pain; fatigue; chills,Yes,Cholera Vaccine,
Hepatitis B,Disease,fever; chills; weight loss; night sweats; fatigue; malaise,Yes,Hepatitis B Vaccine,
SARS,Disease,weight loss; malaise; chills,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Mycobacterium leprae,Bacteria,fatigue; night sweats; weight loss; malaise; stiffness; weakness,No,,Limited global incidence
Sleep Disorders,Disorder,weight loss; chills; fever; night sweats; fatigue; malaise,No,,Various causes including lifestyle and medical conditions
Bronchitis,Disease,malaise; night sweats; chills,No,,Vaccine development not prioritized
Dengue Virus,Virus,night sweats; fever; chills; tingling; dizziness; fatigue,No,,Vaccine development not prioritized
Herpes Simplex Virus,Virus,blisters; dry skin; hair loss,No,,Vaccine development not prioritized
Zika Virus,Virus,fatigue; numbness; dizziness; weight loss; fever; fatigue,No,,Ongoing research with no approved vaccine yet due to multiple strains
Hepatitis Viruses,Virus,memory loss; numbness; weight loss; chills; fatigue,No,,Vaccine development not prioritized
West Nile Virus,Virus,seizures; tingling; weight loss,No,,Limited human cases and complex transmission cycle
Escherichia coli,Bacteria,chills; night sweats; weakness; malaise,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Swine Flu,Disease,fatigue; fever; shortness of breath,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Anxiety,Disorder,night sweats; fatigue; weight loss; fever,No,,Mental health disorder
Avian Flu,Disease,cough; sore throat; runny nose; shortness of breath; fever,No,,Rapid mutation and limited human transmission
Marburg,Disease,chills; fever; fatigue; malaise; weight loss,No,,Vaccine development not prioritized
Coronary Artery Disease,Disorder,fatigue; night sweats; malaise,No,,Cardiovascular disease from multiple risk factors
Mycobacterium tuberculosis,Bacteria,cough; chest pain; runny nose,Yes,BCG Vaccine,
Malaria,Disease,chills; fever; malaise; fatigue; night sweats; weight loss,No,,Complex parasite lifecycle and multiple strains
Mycobacterium tuberculosis,Bacteria,sore throat; shortness of breath; wheezing; cough,Yes,BCG Vaccine,
Dengue,Disease,malaise; fever; chills,Limited,Dengvaxia,Vaccine available but restricted to specific populations due to safety concerns
Escherichia coli,Bacteria,fever; joint pain; fatigue; malaise; night sweats; chills,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Typhoid,Disease,constipation; diarrhea; vomiting,Yes,Typhoid Vaccine,
Tick-Borne Encephalitis Virus,Virus,headache; malaise; dizziness,No,,Vaccine development not prioritized
Zika Virus,Disease,fatigue; fever; chills; malaise; weight loss,No,,Ongoing research with no approved vaccine yet due to multiple strains
Pseudomonas aeruginosa,Bacteria,weakness; chills; back pain; fever; swelling,No,,Opportunistic pathogen in immunocompromised patients
Depression,Disorder,night sweats; fever; chills; malaise; fatigue,No,,Mental health condition with multiple causes
Eating Disorders,Disorder,fever; fatigue; malaise; night sweats,No,,Mental health and behavioral disorders
Hypertension,Disorder,night sweats; fatigue; chills; fever,No,,"Lifestyle and genetic factors, not infectious"
Bipolar Disorder,Disorder,fatigue; weight loss; chills; night sweats; malaise,No,,Mental health condition
Tick-Borne Encephalitis Virus,Virus,headache; weight loss; malaise; fatigue; fatigue,No,,Vaccine development not prioritized
Zika Virus,Disease,weight loss; fever; night sweats; malaise; fatigue,No,,Ongoing research with no approved vaccine yet due to multiple strains
Mumps,Disease,chills; fatigue; malaise; night sweats; fever,Yes,MMR Vaccine,
Hypertension,Disorder,malaise; weight loss; fatigue; chills; night sweats,No,,"Lifestyle and genetic factors, not infectious"
Escherichia coli,Bacteria,weakness; joint pain; chills; muscle pain; swelling,Limited,Travelers' Diarrhea Vaccine,Limited to specific strains
Polio,Disease,fever; fatigue; malaise; weight loss; night sweats,Yes,Polio Vaccine,
Botulism,Disease,weight loss; malaise; fever; fatigue,No,,Vaccine development not prioritized
Dengue,Disease,chills; fever; fatigue; malaise,Limited,Dengvaxia,Vaccine available but restricted to specific populations due to safety concerns
Neisseria gonorrhoeae,Bacteria,malaise; chills; weight loss; joint pain; fever,No,,Rapid antibiotic resistance and immune evasion
Bronchitis,Disease,fever; night sweats; chills; weight loss; malaise,No,,Vaccine development not prioritized
Asthma,Disorder,weight loss; night sweats; malaise; fatigue,No,,"Allergic inflammatory condition, not infectious"
Stroke,Disorder,fever; chills; fatigue,No,,"Caused by various risk factors, not a single pathogen"
Sleep Disorders,Disorder,night sweats; malaise; fatigue; chills,No,,Various causes including lifestyle and medical conditions
Yersinia pestis,Bacteria,stiffness; chills; fever; fatigue; weight loss; night sweats,No,,Rare disease with limited research
Campylobacter,Bacteria,chills; fever; malaise; muscle pain; joint pain; weakness,No,,Complex bacterial structure
Obsessive Compulsive Disorder,Disorder,night sweats; malaise; fever; chills; weight loss; fatigue,No,,Vaccine development not prioritized
Acinetobacter baumannii,Bacteria,swelling; fever; joint pain; stiffness; weight loss,No,,Hospital-acquired infection with multiple strains
Chickenpox,Disease,fatigue; chills; malaise,Yes,Varicella Vaccine,
Dengue Virus,Virus,fatigue; tingling; chills; headache,No,,Vaccine development not prioritized
Adrenal Disorders,Disorder,malaise; chills; fever; fatigue,No,,Endocrine disorders
Tularemia,Disease,fatigue; fever; night sweats; weight loss; chills; malaise,No,,Vaccine development not prioritized
Pituitary Disorders,Disorder,fever; fatigue; weight loss; night sweats; malaise,No,,Endocrine disorders
Smallpox,Disease,weight loss; fatigue; night sweats; chills,No,,Vaccine development not prioritized
Varicella-Zoster Virus,Virus,memory loss; headache; malaise; numbness; weight loss,No,,Vaccine development not prioritized
Epstein-Barr Virus,Virus,chills; malaise; confusion,No,,"Causes lifelong infection, vaccine development challenging"
Chikungunya Virus,Virus,weight loss; memory loss; fatigue; seizures,No,,Vaccine development not prioritized
Meningitis,Disease,fatigue; malaise; night sweats; fever,Yes,Meningococcal Vaccine,
Pituitary Disorders,Disorder,weight loss; night sweats; fever; malaise,No,,Endocrine disorders
Borrelia burgdorferi,Bacteria,weight loss; weakness; night sweats,No,,Previous vaccine withdrawn due to concerns
Bronchitis,Disease,fatigue; chills; fever; weight loss,No,,Vaccine development not prioritized
Diabetes Mellitus,Disorder,fever; night sweats; chills,No,,Vaccine development not prioritized
Post-Traumatic Stress Disorder,Disorder,chills; malaise; weight loss; fatigue; night sweats,No,,Vaccine development not prioritized
Mycobacterium tuberculosis,Bacteria,chest pain; fatigue; fever,Yes,BCG Vaccine,
Depression,Disorder,malaise; fever; weight loss; fatigue; chills,No,,Mental health condition with multiple causes
Marburg,Disease,fatigue; weight loss; chills; night sweats; malaise; fever,No,,Vaccine development not prioritized
COVID-19,Disease,weight loss; night sweats; malaise; fatigue,Yes,COVID-19 Vaccine,
COVID-19,Disease,malaise; night sweats; weight loss; fever; fatigue,Yes,COVID-19 Vaccine,
SARS,Disease,night sweats; malaise; chills; fatigue; weight loss,No,,"Disease eradicated in humans, no ongoing need for vaccine"
MERS,Disease,fever; chills; weight loss; night sweats,No,,Limited outbreaks and research funding constraints
Cytomegalovirus,Virus,malaise; fatigue; numbness,No,,Common virus with complex immune interactions
Coronavirus,Virus,fatigue; memory loss; night sweats,No,,Vaccine development not prioritized
Zika Virus,Virus,malaise; weight loss; night sweats; memory loss; tingling; dizziness,No,,Ongoing research with no approved vaccine yet due to multiple strains
Dengue,Disease,fatigue; chills; night sweats; malaise; weight loss; fever,Limited,Dengvaxia,Vaccine available but restricted to specific populations due to safety concerns
Alzheimer's Disease,Disorder,weight loss; night sweats; malaise; fatigue; chills,No,,Neurodegenerative disease with complex causes
Parainfluenza Virus,Virus,headache; numbness; dizziness; chills; night sweats; fatigue,No,,Vaccine development not prioritized
Influenza,Disease,fatigue; chest pain; sore throat; shortness of breath,Yes,Influenza Vaccine,
Depression,Disorder,malaise; weight loss; chills; fever,No,,Mental health condition with multiple causes
Herpes Simplex Virus,Virus,blisters; hair loss; rash,No,,Vaccine development not prioritized
Monkeypox,Disease,fever; weight loss; fatigue,No,,Vaccine development not prioritized
Rubella,Disease,malaise; chills; fatigue; weight loss; fever,Yes,MMR Vaccine,
Alzheimer's Disease,Disorder,fever; weight loss; chills,No,,Neurodegenerative disease with complex causes
Dengue Virus,Virus,headache; malaise; fatigue,No,,Vaccine development not prioritized
Avian Flu,Disease,wheezing; fever; runny nose,No,,Rapid mutation and limited human transmission
Obsessive Compulsive Disorder,Disorder,chills; fever; fatigue; weight loss; malaise,No,,Vaccine development not prioritized
Mycobacterium leprae,Bacteria,fatigue; weight loss; muscle pain; back pain,No,,Limited global incidence
Schizophrenia,Disorder,malaise; chills; fatigue; fever,No,,Severe mental health disorder
Herpes Simplex Virus,Virus,itching; dry skin; rash; blisters,No,,Vaccine development not prioritized
Tuberculosis,Disease,malaise; weight loss; fever; chills,Yes,BCG Vaccine,
Haemophilus influenzae,Bacteria,weakness; weight loss; swelling,Yes,Hib Vaccine,
Polio,Disease,fever; night sweats; chills; malaise; fatigue,Yes,Polio Vaccine,
Tularemia,Disease,fatigue; chills; fever; night sweats,No,,Vaccine development not prioritized
Diabetes Mellitus,Disorder,malaise; weight loss; night sweats; fatigue; fever,No,,Vaccine development not prioritized
Rhinovirus,Virus,seizures; malaise; fever,No,,Over 100 serotypes make vaccine impractical
Vibrio cholerae,Bacteria,chills; fever; joint pain; swelling,Yes,Cholera Vaccine,
Diabetes Mellitus,Disorder,weight loss; chills; night sweats; malaise; fever,No,,Vaccine development not prioritized
Hepatitis A,Disease,fatigue; chills; weight loss; malaise; night sweats; fever,Yes,Hepatitis A Vaccine,
Japanese Encephalitis Virus,Virus,headache; tingling; fatigue; dizziness; weight loss,No,,Vaccine development not prioritized
