Disease Name,Category,Symptoms,Severity,Causes
Trombiculosis,Parasite,"red lesions, regional lymphadenopathy, vesicles, secondary infection, intense itching, papular rash",Low,Trombicula mites; chigger bites; outdoor activities; seasonal occurrence
Interstitial Cystitis,Disease,"urgency, fatigue, pelvic pain, frequent urination, bladder pain",Medium,bladder wall inflammation; unknown etiology; autoimmune factors; neurological factors
 Tic Disorders,Disorder,"waxing and waning, motor tics, vocal tics, premonitory urges, comorbid conditions, involuntary movements",Medium,genetic factors; neurochemical imbalances; environmental triggers; PANDAS
Mansonellosis,Parasite,"fever, joint pain, edema, rash, headache",Medium,Mansonella species; biting midges; blackfly bites; endemic areas
Typhoid Fever,Bacteria,"persistent fever, fatigue, abdominal pain, headache, weakness",High,Salmonella typhi; contaminated food/water; poor hygiene
Mumps,Virus,"headache, testicle pain, loss of appetite, fatigue, swollen salivary glands, fever, muscle pain",Low,Mumps virus; respiratory droplets; close contact
Gastroesophageal Reflux Disease,Disease,"bad breath, regurgitation, chest pain, heartburn",Low,lower esophageal sphincter weakness; hiatal hernia; obesity; pregnancy; smoking
Nutritional Disorders,Disease,"fatigue, organ dysfunction, deficiency symptoms, metabolic disturbances, weight changes, toxicity signs",High,inadequate intake; malabsorption; excess consumption; metabolic disorders
Drug Allergy,Disease,"anaphylaxis, fever, rash, nausea, itching, hives",Low,immune response to medication; previous sensitization; cross-reactivity; genetic factors
Factitious Disorders,Disorder,"multiple procedures, symptom fabrication, frequent hospitalizations, inconsistent medical history, feigned illness, self-inflicted injury",Medium,psychological needs; attention-seeking; underlying mental health conditions
Adjustment Disorders,Disorder,"functional impairment, emotional distress, behavioral changes, acting out",Medium,stressful life events; major life changes; trauma; loss
Circadian Rhythm Sleep-Wake Disorders,Disorder,"misaligned sleep timing, jet lag, insomnia, delayed sleep phase, advanced sleep phase, excessive sleepiness",Medium,travel across time zones; shift work; genetic factors; blindness; neurological conditions
Cysticercosis,Parasite,"increased intracranial pressure, headache, focal neurological deficits, seizures",High,Taenia solium; fecal-oral transmission; undercooked pork; autoinfection
Renal Cell Carcinoma,Disease,"weight loss, varicocele, flank pain, blood in urine",High,renal tubular cell malignancy; smoking; obesity; genetic syndromes
HIV/AIDS,Virus,"fever, diarrhea, skin rashes, fatigue, night sweats, weight loss",Low,Human Immunodeficiency Virus; unprotected sex; shared needles; blood transfusion
Influenza,Virus,"runny nose, sore throat, muscle weakness, loss of appetite, fatigue, chills, body aches, fever, headache, cough",Medium,Influenza A virus; Influenza B virus; seasonal transmission; airborne droplets
Diphyllobothriasis,Parasite,"diarrhea, abdominal pain, fatigue, vitamin B12 deficiency",Low,Diphyllobothrium latum; undercooked fish; contaminated water; poor sanitation
Delirium,Disease,"confusion, poor judgment, disorientation, fluctuating consciousness",Medium,infection; medication changes; metabolic disturbances; sensory deprivation; hospitalization
Necrotizing Enterocolitis,Disease,"bradycardia, metabolic acidosis, apnea, bloody stools, feeding intolerance, abdominal distension",High,premature birth; formula feeding; intestinal immaturity; bacterial overgrowth
Single Gene Disorders,Disease,"neurological symptoms, metabolic disturbances, organ-specific manifestations, structural defects, variable symptoms, developmental abnormalities",High,single gene mutations; autosomal dominant/recessive; X-linked inheritance
Dengue Fever,Virus,"bleeding gums, nausea, pain behind eyes, high fever, joint pain, fatigue, severe headache",Low,Dengue virus; Aedes mosquito bites; urban transmission
Duchenne Muscular Dystrophy,Disease,"difficulty walking, calf muscle enlargement, muscle weakness, frequent falls, learning difficulties, delayed motor milestones",High,genetic mutation; dystrophin gene; X-linked recessive inheritance
Endometriosis,Disease,"heavy bleeding, painful periods, pelvic pain, pain during intercourse",Medium,retrograde menstruation; immune system dysfunction; hormonal factors; genetic factors
Obstetrical Disorders,Disease,"fetal abnormalities, placental problems, pregnancy complications, maternal symptoms",Medium,maternal factors; fetal factors; placental abnormalities; environmental factors
Pediatric Disorders,Disease,"recurrent infections, behavioral problems, growth retardation, learning difficulties, organ dysfunction, developmental delays",Low,genetic factors; congenital abnormalities; infections; nutritional deficiencies
Erectile Dysfunction,Disease,"difficulty maintaining erection, reduced libido, premature ejaculation, difficulty achieving erection",Medium,vascular disease; diabetes; hypertension; medications; psychological factors; hormonal imbalance
Cheyletiellosis,Parasite,"papules, erythema, scaling, pruritic dermatitis, secondary infection",Low,Cheyletiella mites; contact with infested animals; walking dandruff; zoonotic transmission
Peptic Ulcer Disease,Disease,"loss of appetite, vomiting, bloating, dark stools, nausea, weight loss, abdominal pain",Low,Helicobacter pylori infection; NSAID use; stress; smoking; alcohol
Silicosis,Disease,"fever, shortness of breath, weight loss, chronic cough, weakness",High,silica dust inhalation; mining; quarrying; sandblasting; stone cutting
Acute Stress Disorder,Disorder,"intrusive memories, dissociation, avoidance, sleep disturbances",Medium,traumatic events; threat to life; serious injury; sexual violence
Jet Lag Disorder,Disorder,"cognitive impairment, insomnia, daytime sleepiness, fatigue, gastrointestinal problems",Low,rapid travel across time zones; circadian rhythm disruption; sleep deprivation
Glaucoma,Disease,"nausea, eye pain, red eyes, tunnel vision, gradual vision loss",Medium,increased eye pressure; aging; family history; eye injury; medical conditions
Sleep-Related Rhythmic Movement Disorder,Disorder,"body rocking, arousals, head banging, rhythmic movements, sleep disturbance",Low,developmental; stress; anxiety; neurological conditions
Neurological Disorders,Disease,"behavioral changes, coordination problems, cognitive impairment, sensory disturbances, neurological symptoms, motor dysfunction",High,brain/spinal cord abnormalities; genetic factors; infections; trauma
Vitiligo,Disease,"white patches on skin, increased sun sensitivity, premature graying of hair",Low,autoimmune response; genetic factors; oxidative stress; neural factors
Meningitis,Bacteria,"fever, seizures, stiff neck, severe headache",High,Neisseria meningitidis; Streptococcus pneumoniae; Haemophilus influenzae; viral infection
Breathing-Related Sleep Disorders,Disorder,"snoring, daytime sleepiness, breathing pauses, dry mouth, morning headaches",Medium,obesity; anatomical abnormalities; neuromuscular disorders; congestive heart failure
Gestational Diabetes,Disease,"increased thirst, frequent urination, nausea, fatigue",Medium,hormonal changes of pregnancy; insulin resistance; obesity; family history
Factitious Disorders,Disorder,"feigned illness, symptom fabrication, self-inflicted injury, multiple procedures",Low,psychological needs; attention-seeking; underlying mental health conditions
Psychological Factors Affecting Medical Condition,Disorder,"non-adherence, interpersonal issues, emotional distress, worsening of medical condition, excessive symptoms",Medium,stress; depression; anxiety; coping difficulties; relationship problems
Schizophrenia,Disorder,"hallucinations, cognitive difficulties, disorganized thinking, delusions",High,genetic factors; brain chemistry; prenatal exposure; stress; substance abuse
Sleep-Related Breathing Disorders,Disorder,"apneas, daytime sleepiness, snoring, cognitive impairment",Medium,obesity; anatomical abnormalities; neuromuscular disorders; aging
Rapid Eye Movement Sleep Behavior Disorder,Disorder,"dream enactment, vocalizations, injury to self or bed partner, movements during REM sleep",Medium,synucleinopathies; Parkinson's disease; multiple system atrophy; medications
Hyperthyroidism,Disease,"rapid heartbeat, goiter, weight loss, anxiety, heat intolerance",Medium,Graves' disease; toxic adenoma; thyroiditis; excess iodine; medication
 Tic Disorders,Disorder,"waxing and waning, premonitory urges, involuntary movements, vocal tics, motor tics",Low,genetic factors; neurochemical imbalances; environmental triggers; PANDAS
Silicosis,Disease,"shortness of breath, night sweats, fever, chronic cough, weakness, weight loss",Medium,silica dust inhalation; mining; quarrying; sandblasting; stone cutting
Sleep-Related Painful Erections,Disorder,"nocturnal, painful erections, sleep disturbance, sexual dysfunction, during REM sleep, arousal from sleep",Low,unknown; neurological conditions; vascular problems; medications
Norovirus,Virus,"diarrhea, vomiting, fever, headache, nausea, stomach pain, fatigue",Low,Norovirus; contaminated food/water; close contact; fecal-oral route
Degenerative Disorders,Disease,"functional decline, progressive deterioration, neurological symptoms, organ dysfunction",High,aging processes; genetic factors; environmental exposures; lifestyle factors
Cushing's Disease,Disease,"thin skin, moon face, buffalo hump, muscle weakness, weight gain",Medium,pituitary adenoma; ACTH overproduction; corticotroph hyperplasia
Opisthorchiasis,Parasite,"fever, fatigue, abdominal pain, diarrhea, cholangiocarcinoma",Low,Opisthorchis viverrini; undercooked fish; contaminated water; poor sanitation
Cardiovascular Disorders,Disease,"syncope, edema, palpitations, fatigue, chest pain, shortness of breath, dizziness",Medium,atherosclerosis; hypertension; valvular disease; arrhythmias; congenital defects
Otolaryngological Disorders,Disease,"tinnitus, vertigo, balance issues, ear pain, nasal symptoms, hearing problems",Low,infections; trauma; congenital abnormalities; aging processes
Adolescent Disorders,Disease,"pubertal abnormalities, substance abuse, eating disorders, mood disturbances, behavioral changes, risk-taking behaviors",Low,hormonal changes; psychological factors; peer pressure; family dynamics
Gout,Disease,"redness, severe joint pain, fever, swelling, limited range of motion, tenderness",Medium,high uric acid levels; diet; genetics; medications; obesity
Other Specified Insomnia Disorder,Disorder,"not meeting full criteria, sleep disturbance, specific circumstances, insomnia symptoms",Low,stress; medical conditions; medications; environmental factors
Renal Disorders,Disease,"uremia, fatigue, proteinuria, hypertension, electrolyte imbalances, edema",Medium,diabetes; hypertension; glomerulonephritis; polycystic disease; infections
Thelaziasis,Parasite,"foreign body sensation, lacrimation, vision impairment, conjunctivitis, corneal ulcers, eye irritation",Low,Thelazia species; face fly transmission; ocular infection; animal reservoir
Gastroesophageal Reflux Disease,Disease,"chronic cough, hoarseness, difficulty swallowing, regurgitation, heartburn, chest pain",Medium,lower esophageal sphincter weakness; hiatal hernia; obesity; pregnancy; smoking
Glaucoma,Disease,"headache, eye pain, tunnel vision, gradual vision loss",Medium,increased eye pressure; aging; family history; eye injury; medical conditions
Bronchitis,Disease,"wheezing, mucus production, shortness of breath, cough, fatigue, fever",Medium,viral infection; bacterial infection; smoking; air pollution; allergies
Trauma-Related Disorders,Disorder,"intrusive memories, dissociation, hyperarousal, sleep disturbances, emotional numbness, concentration problems, avoidance",High,trauma exposure; abuse; violence; accidents; natural disasters
Multiple Sclerosis,Disease,"cognitive changes, difficulty walking, numbness, fatigue, bladder problems",High,autoimmune response; genetic predisposition; environmental factors; viral infections
Occupational Diseases,Disease,"respiratory symptoms, skin problems, neurological symptoms, hearing loss",Medium,workplace exposures; chemical agents; physical hazards; ergonomic factors
Scleroderma,Disease,"heart problems, skin thickening, Raynaud's phenomenon, joint pain",Medium,autoimmune response; genetic factors; environmental triggers; vascular abnormalities
Duchenne Muscular Dystrophy,Disease,"difficulty walking, frequent falls, delayed motor milestones, muscle weakness, calf muscle enlargement, learning difficulties",High,genetic mutation; dystrophin gene; X-linked recessive inheritance
Otolaryngological Disorders,Disease,"tinnitus, ear pain, hearing problems, nasal symptoms, speech problems, balance issues",Low,infections; trauma; congenital abnormalities; aging processes
Scabies,Parasite,"regional lymphadenopathy, rash, burrows, excoriations, intense itching",Medium,Sarcoptes scabiei; skin-to-skin contact; fomite transmission; crowded conditions
Babesiosis,Parasite,"headache, chills, fever, sweating, fatigue",High,Babesia parasites; tick bites; blood transfusion; congenital transmission
Dental Caries,Disease,"bad breath, visible holes in teeth, swelling, sensitivity to hot/cold, fever, tooth pain, difficulty chewing",Medium,bacterial infection; sugar consumption; poor oral hygiene; dry mouth; acidic foods
Diabetes Type 2,Disease,"tingling hands/feet, frequent infections, increased thirst, fatigue, frequent urination, slow-healing sores, darkened skin",Low,Insulin resistance; obesity; sedentary lifestyle; genetic factors; aging
Hypothyroidism,Disease,"dry skin, weight gain, cold intolerance, depression, memory problems, hair loss, fatigue",Low,autoimmune thyroiditis; iodine deficiency; thyroid surgery; radiation therapy
Primary Immunodeficiencies,Disease,"autoimmune disorders, skin rashes, failure to thrive, recurrent infections",High,genetic mutations; immune system defects; various inheritance patterns
Macular Degeneration,Disease,"distorted vision, blurred central vision, color perception changes, facial recognition problems, dark spots",Medium,aging; genetic factors; smoking; obesity; cardiovascular disease
Viral Hepatitis,Virus,"abdominal pain, joint pain, nausea, dark urine, clay-colored stools, jaundice, fatigue",High,Hepatitis viruses; blood contact; sexual transmission; contaminated food/water
Pediatric Disorders,Disease,"recurrent infections, developmental delays, growth retardation, learning difficulties, organ dysfunction, behavioral problems",High,genetic factors; congenital abnormalities; infections; nutritional deficiencies
Mansonellosis,Parasite,"chronic symptoms, joint pain, fever, rash, eosinophilia, headache",Medium,Mansonella species; biting midges; blackfly bites; endemic areas
Sleep-Related Bruxism,Disorder,"during sleep, tooth grinding, jaw pain, jaw clenching, tooth damage",Low,stress; anxiety; sleep disorders; medications; genetic factors
Disruptive Disorders,Disorder,"aggressive behavior, irritability, rule-breaking, academic difficulties, defiant behavior, social problems",Low,genetic factors; environmental influences; family dynamics; neurobiological factors
Pediatric Disorders,Disease,"organ dysfunction, recurrent infections, developmental delays, growth retardation, learning difficulties",Medium,genetic factors; congenital abnormalities; infections; nutritional deficiencies
Sleep Apnea,Disorder,"pauses in breathing, gasping during sleep, irritability, loud snoring",Medium,obesity; narrow airway; enlarged tonsils; alcohol use; smoking
Pulmonary Embolism,Disease,"rapid heartbeat, cough, dizziness, sudden shortness of breath, chest pain",High,deep vein thrombosis; blood clot in lungs; immobility; surgery; cancer
Echinococcosis,Parasite,"organ dysfunction, nausea, cyst rupture, vomiting, allergic reactions, abdominal pain",Medium,Echinococcus species; contact with infected dogs; contaminated food; zoonotic transmission
 Tic Disorders,Disorder,"vocal tics, involuntary movements, motor tics, waxing and waning",Low,genetic factors; neurochemical imbalances; environmental triggers; PANDAS
Catheter-Associated Urinary Tract Infection,Disease,"frequency, hematuria, suprapubic pain, dysuria, fever, urgency, confusion",Low,urinary catheter insertion; bacterial colonization; prolonged catheterization; poor hygiene
Taeniasis,Parasite,"weight loss, headache, seizures, nausea, cysticercosis, abdominal pain",Medium,Taenia species; undercooked pork/beef; contaminated water; poor sanitation
Unspecified Sleep-Wake Disorder,Disorder,"sleep disturbance, daytime impairment, sleep-wake disturbance, insufficient information, diagnostic uncertainty",Medium,unknown; multiple possible factors; awaiting further evaluation
Asthma,Disease,"chest tightness, wheezing, difficulty sleeping, shortness of breath, anxiety, coughing",Medium,genetic predisposition; environmental allergens; air pollution; respiratory infections; stress
Parasomnias,Disorder,"sleep eating, night terrors, sleepwalking, abnormal sleep behaviors",Medium,genetic factors; stress; medications; sleep deprivation; neurological conditions
Ancylostomiasis,Parasite,"abdominal pain, pica, fatigue, edema, diarrhea",Low,Ancylostoma duodenale; skin penetration; contaminated soil; barefoot walking
Coronary Artery Disease,Disease,"shortness of breath, arm/shoulder pain, chest pain, fatigue",High,atherosclerosis; high cholesterol; hypertension; smoking; diabetes; family history
Erectile Dysfunction,Disease,"difficulty maintaining erection, difficulty achieving erection, reduced libido",Medium,vascular disease; diabetes; hypertension; medications; psychological factors; hormonal imbalance
Circadian Rhythm Sleep Disorders,Disorder,"sleep timing problems, delayed sleep phase, shift work problems, insomnia, jet lag, advanced sleep phase, excessive sleepiness",Medium,disruption of circadian rhythm; travel; shift work; genetic factors
Catheter-Associated Urinary Tract Infection,Disease,"frequency, confusion, urgency, fever",Low,urinary catheter insertion; bacterial colonization; prolonged catheterization; poor hygiene
Lyme Disease,Bacteria,"muscle pain, fever, joint pain, swollen lymph nodes, fatigue, bull's-eye rash",Medium,Borrelia burgdorferi; deer tick bites; outdoor activities
Addison's Disease,Disease,"salt craving, fatigue, weight loss, low blood pressure",Medium,autoimmune destruction; infection; cancer; adrenal hemorrhage
Influenza,Virus,"runny nose, headache, sore throat, fever, body aches, fatigue, cough",High,Influenza A virus; Influenza B virus; seasonal transmission; airborne droplets
Lyme Disease,Bacteria,"muscle pain, fever, fatigue, bull's-eye rash",Low,Borrelia burgdorferi; deer tick bites; outdoor activities
Malaria,Parasite,"fever, vomiting, headache, nausea, abdominal pain, chills, fatigue",High,Plasmodium parasites; mosquito bites; Anopheles mosquito vector
Sudden Infant Death Syndrome,Disease,"sleep-related, unexpected death, none apparent, no prior symptoms, autopsy findings",High,unknown; brain abnormalities; respiratory issues; overheating; prone sleeping
Hookworm Infection,Parasite,"abdominal pain, protein deficiency, diarrhea, fatigue",Low,Ancylostoma duodenale; Necator americanus; skin penetration; contaminated soil
Hodgkin's Lymphoma,Disease,"night sweats, alcohol-induced pain, fever, enlarged lymph nodes",Medium,Reed-Sternberg cells; EBV association; genetic factors; immune suppression
Pressure Ulcers,Disease,"infection, odor, skin breakdown, swelling, pain, red skin",Low,immobility; poor nutrition; moisture; friction; shear forces
Mucopolysaccharidosis,Disease,"vision problems, hearing loss, skeletal abnormalities, joint stiffness, coarse facial features, developmental delay",Medium,lysosomal enzyme deficiencies; genetic mutations; autosomal recessive inheritance
Vascular Disorders,Disease,"organ dysfunction, circulatory problems, swelling, pain",Medium,vascular abnormalities; atherosclerosis; hypertension; genetic factors
Acute Pancreatitis,Disease,"fever, vomiting, rapid heartbeat, jaundice, tenderness, severe abdominal pain, nausea",High,gallstones; alcohol abuse; hypertriglyceridemia; medications; infection
Idiopathic Pulmonary Fibrosis,Disease,"dry cough, crackles on lung exam, fatigue, shortness of breath",High,unknown; genetic factors; environmental exposures; autoimmune factors
Medication-Induced Movement Disorders,Disorder,"bradykinesia, tremor, restless legs, rigidity",Low,antipsychotics; anti-nausea drugs; antidepressants; long-term use
Endocrine Disorders,Disease,"growth abnormalities, metabolic disturbances, reproductive problems, organ dysfunction, electrolyte imbalances, hormonal imbalances",Medium,glandular dysfunction; genetic mutations; autoimmune disorders; tumors
Cataracts,Disease,"cloudy vision, blurred vision, glare sensitivity, frequent prescription changes",Low,aging; UV exposure; diabetes; smoking; steroid use; eye injury
Acute Stress Disorder,Disorder,"hyperarousal, intrusive memories, sleep disturbances, concentration problems, dissociation, avoidance",Medium,traumatic events; threat to life; serious injury; sexual violence
Rapid Eye Movement Sleep Behavior Disorder,Disorder,"vocalizations, dream enactment, daytime sleepiness, movements during REM sleep, cognitive impairment",Medium,synucleinopathies; Parkinson's disease; multiple system atrophy; medications
Pertussis,Bacteria,"vomiting after coughing, severe coughing fits, whooping sound, runny nose",Medium,Bordetella pertussis; respiratory droplets; close contact
Pancreatic Disorders,Disease,"steatorrhea, nausea, weight loss, vomiting, abdominal pain, diarrhea, diabetes",High,chronic pancreatitis; cystic fibrosis; alcohol abuse; autoimmune disorders
Mumps,Virus,"testicle pain, loss of appetite, fatigue, fever, swollen salivary glands, muscle pain, headache",Low,Mumps virus; respiratory droplets; close contact
Delayed Sleep Phase Disorder,Disorder,"insomnia, delayed wake time, delayed sleep onset, difficulty functioning in morning, daytime sleepiness, social impairment",Low,genetic factors; circadian rhythm abnormalities; environmental factors
Pediatric Disorders,Disease,"behavioral problems, developmental delays, growth retardation, recurrent infections",Low,genetic factors; congenital abnormalities; infections; nutritional deficiencies
Norovirus,Virus,"fever, diarrhea, stomach pain, vomiting, body aches, nausea",Low,Norovirus; contaminated food/water; close contact; fecal-oral route
Erectile Dysfunction,Disease,"difficulty maintaining erection, delayed ejaculation, difficulty achieving erection",Low,vascular disease; diabetes; hypertension; medications; psychological factors; hormonal imbalance
Baylisascariasis,Parasite,"seizures, vision loss, coma, fever, headache, neurological deficits",High,Baylisascaris procyonis; ingestion of eggs; contaminated soil; raccoon feces
Addison's Disease,Disease,"salt craving, low blood pressure, dizziness, weight loss, fatigue",High,autoimmune destruction; infection; cancer; adrenal hemorrhage
Chronic Kidney Disease,Disease,"fatigue, poor appetite, sleep problems, swelling, muscle cramps",High,diabetes; hypertension; glomerulonephritis; polycystic kidney disease; prolonged obstruction
Ancylostomiasis,Parasite,"fatigue, abdominal pain, diarrhea, anemia, protein deficiency, edema",Low,Ancylostoma duodenale; skin penetration; contaminated soil; barefoot walking
Ciliopathies,Disease,"skeletal abnormalities, organ dysfunction, kidney problems, developmental delay, vision/hearing loss",High,ciliary dysfunction; genetic mutations; various inheritance patterns
Kawasaki Disease,Disease,"red lips/tongue, fever, peeling skin, rash, red eyes",High,unknown; immune system response; possible viral trigger; genetic predisposition
Ebola,Virus,"fatigue, severe headache, fever, muscle pain, rash",High,Ebolavirus; contact with infected fluids; animal transmission; nosocomial spread
Gnathostomiasis,Parasite,"migratory swelling, fever, abdominal pain, rash, eosinophilia, neurological symptoms",Low,Gnathostoma species; undercooked fish/frogs; contaminated water; zoonotic transmission
Middle East Respiratory Syndrome,Virus,"diarrhea, fever, nausea, cough, shortness of breath, vomiting, abdominal pain",High,MERS-CoV virus; contact with infected camels; nosocomial transmission
Gestational Diabetes,Disease,"increased thirst, yeast infections, nausea, slow-healing sores, frequent urination, blurred vision, fatigue",Medium,hormonal changes of pregnancy; insulin resistance; obesity; family history
Cysticercosis,Parasite,"seizures, hydrocephalus, headache, increased intracranial pressure, focal neurological deficits, cognitive impairment",Medium,Taenia solium; fecal-oral transmission; undercooked pork; autoinfection
Syphilis,Bacteria,"chancre sore, rash, fatigue, joint pain, swollen lymph nodes",High,Treponema pallidum; sexual contact; congenital transmission
Chickenpox,Virus,"fever, rash, itching, fatigue, mild cough",Medium,Varicella-zoster virus; airborne transmission; direct contact
Dracunculiasis,Parasite,"fever, disability, secondary infection, nausea, painful blister, ulcer formation, swelling",Medium,Dracunculus medinensis; contaminated water; copepod intermediate hosts
Cholecystitis,Disease,"nausea, vomiting, tenderness, fever, jaundice, right upper abdominal pain, chills",High,gallstones; gallbladder obstruction; infection; ischemia
Fungal Endocarditis,Fungus,"fever, weight loss, embolic events, mycotic aneurysms",High,Candida species; Aspergillus species; immune deficiency; prosthetic valves
Fungal Endocarditis,Fungus,"immune suppression, weight loss, petechiae, fever, mycotic aneurysms, embolic events",High,Candida species; Aspergillus species; immune deficiency; prosthetic valves
Vascular Disorders,Disease,"thrombosis, circulatory problems, swelling, pain",High,vascular abnormalities; atherosclerosis; hypertension; genetic factors
Sudden Infant Death Syndrome,Disease,"sleep-related, no prior symptoms, autopsy findings, unexpected death",High,unknown; brain abnormalities; respiratory issues; overheating; prone sleeping
Schizophrenia,Disorder,"hallucinations, disorganized thinking, delusions, cognitive difficulties, poor hygiene, lack of motivation, social withdrawal",High,genetic factors; brain chemistry; prenatal exposure; stress; substance abuse
Norovirus,Virus,"diarrhea, stomach pain, vomiting, body aches, nausea",Medium,Norovirus; contaminated food/water; close contact; fecal-oral route
Middle East Respiratory Syndrome,Virus,"vomiting, nausea, fever, cough, shortness of breath",High,MERS-CoV virus; contact with infected camels; nosocomial transmission
Asbestosis,Disease,"chronic cough, shortness of breath, fatigue, finger clubbing, crackling sounds in lungs, weight loss, chest pain",High,asbestos fiber inhalation; occupational exposure; construction work; shipbuilding
Conversion Disorder,Disorder,"neurological symptoms, seizures, paralysis, functional impairment, psychological distress",Low,psychological stress; trauma; unconscious conflict; modeling
Acute Pancreatitis,Disease,"severe abdominal pain, tenderness, vomiting, jaundice, fever, nausea",High,gallstones; alcohol abuse; hypertriglyceridemia; medications; infection
Zika Virus,Virus,"fever, conjunctivitis, rash, swollen lymph nodes, muscle pain, joint pain",Low,Zika virus; Aedes mosquito bites; sexual transmission; vertical transmission
Hypothyroidism,Disease,"memory problems, fatigue, cold intolerance, depression, weight gain",Low,autoimmune thyroiditis; iodine deficiency; thyroid surgery; radiation therapy
Sleep-Related Disorders Not Otherwise Specified,Disorder,"daytime impairment, not fitting other categories, various sleep-related symptoms, sleep disturbance",Low,various; medical conditions; medications; environmental factors
Fascioliasis,Parasite,"fever, liver enlargement, abdominal pain, fatigue, eosinophilia",Medium,Fasciola hepatica; contaminated watercress; raw vegetables; zoonotic transmission
Other Specified Insomnia Disorder,Disorder,"insomnia symptoms, context-specific, sleep disturbance, specific circumstances, daytime impairment, not meeting full criteria",Medium,stress; medical conditions; medications; environmental factors
Polycystic Ovary Syndrome,Disease,"infertility, dark skin patches, irregular periods, acne, hair loss, excess hair growth, weight gain",Medium,hormonal imbalance; insulin resistance; genetic factors; obesity
Sleep-Related Hypoventilation Disorders,Disorder,"elevated CO2 levels, oxygen desaturation, fatigue, pulmonary hypertension, daytime sleepiness, cognitive impairment",Medium,obesity; neuromuscular disorders; chest wall abnormalities; lung diseases
Non-Hodgkin's Lymphoma,Disease,"itching, fever, fatigue, weight loss, enlarged lymph nodes",High,B-cell or T-cell malignancy; genetic factors; immune suppression; viral infections
Narcolepsy,Disorder,"sleep paralysis, excessive daytime sleepiness, cataplexy, automatic behaviors",Medium,genetic factors; autoimmune destruction of hypocretin neurons; brain injury
Gestational Diabetes,Disease,"nausea, frequent urination, yeast infections, slow-healing sores, increased thirst, blurred vision, fatigue",Medium,hormonal changes of pregnancy; insulin resistance; obesity; family history
Erectile Dysfunction,Disease,"difficulty achieving erection, delayed ejaculation, difficulty maintaining erection",Low,vascular disease; diabetes; hypertension; medications; psychological factors; hormonal imbalance
Typhoid Fever,Bacteria,"loss of appetite, fatigue, headache, rash, abdominal pain, cough, persistent fever",Medium,Salmonella typhi; contaminated food/water; poor hygiene
Grief Reactions,Disorder,"anxiety, guilt, sadness, yearning, emotional pain",Low,loss of loved one; significant life changes; traumatic events
Cholera,Bacteria,"severe diarrhea, vomiting, low blood pressure, muscle cramps, rapid heartbeat, dehydration",High,Vibrio cholerae; contaminated water; poor sanitation; raw shellfish
Opisthorchiasis,Parasite,"fatigue, diarrhea, abdominal pain, fever",Medium,Opisthorchis viverrini; undercooked fish; contaminated water; poor sanitation
Angiostrongyliasis,Parasite,"respiratory problems, headache, dizziness, seizures, fever",Medium,Angiostrongylus cantonensis; raw snails/slugs; contaminated vegetables; intermediate hosts
Diphyllobothriasis,Parasite,"diarrhea, neurological symptoms, abdominal pain, anemia, fatigue, vitamin B12 deficiency",Medium,Diphyllobothrium latum; undercooked fish; contaminated water; poor sanitation
Irregular Sleep-Wake Rhythm Disorder,Disorder,"irregular sleep timing, daytime sleepiness, mood disturbances, multiple naps, cognitive impairment, insomnia",Medium,neurological conditions; dementia; developmental disabilities; institutionalization
Black Lung Disease,Disease,"fatigue, chest pain, chronic cough, shortness of breath",High,coal dust inhalation; coal mining; long-term exposure; inadequate ventilation
Acne,Disease,"whiteheads, blackheads, scarring, oily skin, pain, pimples, inflammation",Medium,hormonal changes; excess sebum; clogged pores; bacterial infection
Complex Post-Traumatic Stress Disorder,Disorder,"emotional dysregulation, negative self-concept, PTSD symptoms, interpersonal difficulties, somatic symptoms",High,prolonged trauma; repeated abuse; captivity; organizational abuse
Iatrogenic Disorders,Disease,"nosocomial infections, adverse reactions, drug interactions, surgical complications, treatment complications, device-related problems",High,medical interventions; drug side effects; procedural complications; hospital-acquired conditions
Vitamin D Deficiency,Disease,"depression, impaired wound healing, muscle weakness, hair loss, fatigue, increased infection risk, bone pain",Low,inadequate sunlight exposure; poor dietary intake; malabsorption; kidney disease; obesity
Tinnitus,Disease,"buzzing sounds, ringing in ears, sleep disturbance, hearing loss, hissing sounds, concentration problems",Low,age-related hearing loss; ear wax buildup; ear infections; loud noise exposure; medications
Bacterial Endocarditis,Bacteria,"fatigue, weight loss, fever, splinter hemorrhages, petechiae",High,Streptococcus viridans; Staphylococcus aureus; heart valve abnormalities; intravenous drug use
Kidney Stones,Disease,"fever, vomiting, nausea, severe pain, blood in urine, frequent urination",High,dehydration; high calcium; high oxalate; infection; genetic factors
Eczema,Disease,"thickened skin, dry skin, itchy skin, red patches, swelling",Medium,genetic factors; immune system dysfunction; environmental triggers; stress
Adjustment Disorders,Disorder,"anxiety, behavioral changes, depression, emotional distress, functional impairment",Low,stressful life events; major life changes; trauma; loss
Eczema,Disease,"cracking, dry skin, red patches, itchy skin, oozing",Medium,genetic factors; immune system dysfunction; environmental triggers; stress
Avian Influenza,Virus,"shortness of breath, conjunctivitis, cough, sore throat, fever, muscle aches",Medium,Avian influenza viruses; contact with infected birds; zoonotic transmission
Cheyletiellosis,Parasite,"erythema, papules, pruritic dermatitis, scaling",Low,Cheyletiella mites; contact with infested animals; walking dandruff; zoonotic transmission
