Disease Name,Category,Symptoms,Severity,Causes
Chronic Fatigue Syndrome,Disorder,severe fatigue; pain; sleep problems; anxiety; post-exertional malaise; sore throat,Medium,Viral infections; Immune system issues; Hormonal imbalances; Stress; Genetic factors
Syphilis,Bacteria,fatigue; chancre sore; neurological symptoms; trypanosomiasis; hair loss; shin splints; rash; fever,High,Treponema pallidum; Sexual transmission; Congenital transmission
Attention Deficit Hyperactivity Disorder,Disorder,inattention; hyperactivity; disorganization; chills; skrjabinia; arthritis; impulsivity; forgetfulness; difficulty following instructions,Medium,Genetic factors; Brain structure differences; Environmental factors; Prenatal exposure to toxins; Low birth weight
Depression,Disease,strains; fatigue; stilesia; difficulty concentrating; appetite changes; emphysema; sleep changes,Medium,Genetic factors; Brain chemistry; Stress; Trauma; Medical conditions; Substance abuse
Strep Throat,Bacteria,white patches on tonsils; frequent urination; varicose veins; swollen lymph nodes; difficulty swallowing; sore throat,Medium,Streptococcus bacteria; Direct contact; Airborne droplets
Schizophrenia,Disorder,negative symptoms; respiratory alkalosis; cognitive difficulties; hallucinations; delusions; disorganized thinking; emotional flatness,High,Genetic factors; Brain chemistry; Brain structure; Stress; Drug use; Prenatal complications
Pertussis,Bacteria,fatigue; fever; runny nose; severe cough; whooping sound; vomiting after cough; cystitis,High,Bordetella pertussis; Airborne transmission; Close contact
Autism Spectrum Disorder,Disorder,eczema; myasthenia gravis; delayed language development; restricted interests; social communication difficulties; repetitive behaviors; sensory sensitivities; diabetes insipidus,Medium,Genetic factors; Environmental factors; Prenatal exposure; Complications during pregnancy; Advanced parental age
Dyslexia,Disorder,letter reversal; leukocytosis; parkinsonism; phonological awareness issues; uremia; poor comprehension; spelling problems; reading difficulties,Low,Genetic factors; Brain structure differences; Prenatal exposure; Early childhood experiences
Chlamydia,Bacteria,sore throat; pleurisy; aneurysm; testicular pain; painful urination; rectal pain,Medium,Chlamydia trachomatis; Sexual transmission; Mother-to-child during birth
COVID-19,Virus,fever; loss of taste/smell; cryptosporidiosis; echinostomiasis; cough; shortness of breath; fatigue,High,SARS-CoV-2 virus; Respiratory transmission; Close contact
Tourette Syndrome,Disorder,vocal tics; involuntary movements; leg pain; obsessive behaviors; involuntary sounds; motor tics; attention difficulties; ARDS,Medium,Genetic factors; Brain chemistry; Environmental factors; Complications during pregnancy; Infections
Zika Virus,Virus,diphyllobothrium; cushing syndrome; headache; joint pain; rash; bleeding gums; muscle pain,Medium,Zika virus; Mosquito transmission; Sexual transmission
Syphilis,Bacteria,uremia; neurological symptoms; brugada syndrome; hair loss; tremors; joint pain; chancre sore; fatigue; rash; fever,High,Treponema pallidum; Sexual transmission; Congenital transmission
Depression,Disease,purpura; appetite changes; menorrhagia; loss of interest; vomiting; persistent sadness; difficulty concentrating; sleep changes,Medium,Genetic factors; Brain chemistry; Stress; Trauma; Medical conditions; Substance abuse
Rheumatoid Arthritis,Disease,weight loss; joint stiffness; joint swelling; parkinsonism; fatigue; joint pain,Medium,Autoimmune disorder; Genetic factors; Environmental triggers; Hormonal factors; Infections
Tourette Syndrome,Disorder,involuntary movements; involuntary sounds; edema; vocal tics; motor tics; attention difficulties,Medium,Genetic factors; Brain chemistry; Environmental factors; Complications during pregnancy; Infections
Mumps,Virus,swollen salivary glands; fatigue; muscle pain; headache; fever; thrombocytopenia; loss of appetite,Medium,Mumps virus; Airborne transmission; Saliva contact
Tourette Syndrome,Disorder,obsessive behaviors; motor tics; attention difficulties; stress fractures; involuntary movements; vocal tics; involuntary sounds,Medium,Genetic factors; Brain chemistry; Environmental factors; Complications during pregnancy; Infections
Hepatitis C,Virus,abdominal pain; loss of appetite; joint pain; fatigue; sensitivity to touch; nausea; jaundice,Medium,Hepatitis C virus; Blood contact; Shared needles; Healthcare exposure
HIV/AIDS,Virus,diphyllobothrium; fever; anxiety; night sweats; fatigue; tremors; persistent cough; swollen lymph nodes; weight loss,High,HIV virus infection; Unprotected sex; Shared needles; Mother-to-child transmission
Pneumonia,Bacteria,shortness of breath; fatigue; swelling in legs; chest pain; fever; cough; chills,High,"Bacterial infection (Streptococcus, etc.); Viral infection; Fungal infection; Aspiration"
Botulism,Bacteria,blurred vision; drooping eyelids; slurred speech; difficulty swallowing; double vision; neck pain; muscle weakness,High,Clostridium botulinum toxin; Contaminated food; Wound infection; Infant intestinal infection
Influenza,Virus,fatigue; body aches; fever; sore throat; cough; headache,Medium,Influenza virus infection; Seasonal transmission; Airborne droplets
Dyscalculia,Disorder,memory issues with numbers; calculation errors; poor spatial reasoning; difficulty understanding math concepts; ALS; gallstones; number sense problems; math difficulties,Low,Genetic factors; Brain structure differences; Prenatal exposure; Learning experiences; Neurological factors
Parkinson's Disease,Disease,speech changes; difficulty walking; postural instability; bradykinesia; tremor; stiffness,High,Genetic factors; Age; Environmental toxins; Head trauma; Vascular disease
Epilepsy,Disease,loss of consciousness; seizures; convulsions; headache; petechiae; fatigue,High,Genetic factors; Brain injury; Infections; Stroke; Brain tumors; Developmental disorders
Chickenpox,Virus,fatigue; fever; loss of appetite; hymenolepiasis; blisters; rash; itching; chest pain,Medium,Varicella-zoster virus; Airborne transmission; Direct contact
Influenza,Virus,headache; fatigue; pericardial effusion; cough; sore throat; fever; body aches,Medium,Influenza virus infection; Seasonal transmission; Airborne droplets
Osteoarthritis,Disease,joint stiffness; crepitus; muscle weakness; joint swelling; reduced range of motion; joint pain; venous insufficiency,Medium,Age; Joint injury; Obesity; Genetic factors; Repetitive joint use
Osteoarthritis,Disease,reduced range of motion; joint pain; muscle weakness; joint stiffness; purpura; infertility; TIA,Medium,Age; Joint injury; Obesity; Genetic factors; Repetitive joint use
Chickenpox,Virus,fatigue; blisters; osteoporosis; difficulty swallowing; fever; itching; loss of appetite; rash,Medium,Varicella-zoster virus; Airborne transmission; Direct contact
HIV/AIDS,Virus,osteomyelitis; night sweats; persistent cough; spinal cord injury; necrosis; fatigue; fever,High,HIV virus infection; Unprotected sex; Shared needles; Mother-to-child transmission
Salmonella,Bacteria,osteoporosis; abdominal cramps; headache; nausea; gnathostomiasis; fever; diarrhea,Medium,Salmonella bacteria; Contaminated food; Undercooked poultry/eggs; Poor food handling
Diabetes Type 1,Disease,frequent infections; fatigue; frequent urination; moniliformis; increased thirst; slow-healing sores,High,Autoimmune destruction of insulin-producing cells; Genetic predisposition; Environmental triggers
Pertussis,Bacteria,depression; amebiasis; fatigue; runny nose; fever; severe cough; vomiting after cough; edema,High,Bordetella pertussis; Airborne transmission; Close contact
Pneumonia,Bacteria,muscular dystrophy; shortness of breath; fever; cough; chills; chest pain; fatigue; nausea,High,"Bacterial infection (Streptococcus, etc.); Viral infection; Fungal infection; Aspiration"
Dyscalculia,Disorder,difficulty understanding math concepts; math difficulties; number sense problems; heart palpitations; abscess; ALS; memory issues with numbers,Low,Genetic factors; Brain structure differences; Prenatal exposure; Learning experiences; Neurological factors
Fibromyalgia,Disorder,widespread pain; sleep disturbances; irritable bowel syndrome; fatigue; headaches; jaundice; cognitive difficulties,Medium,Genetic factors; Infections; Physical trauma; Stress; Abnormal pain processing; Hormonal changes
Tetanus,Bacteria,difficulty swallowing; WPW syndrome; lockjaw; fever; sweating; gynecomastia; muscle spasms,High,Clostridium tetani; Wound contamination; Soil exposure; Rust exposure
Post-Traumatic Stress Disorder,Disorder,nightmares; flashbacks; muscle weakness; irritability; hypervigilance; avoidance; numbness,High,Traumatic events; Severe stress; Genetic factors; Brain chemistry changes; Lack of social support
Measles,Virus,cough; moniliformis; rash; runny nose; tremors; white spots in mouth; red eyes; fever,High,Measles virus; Airborne transmission; Unvaccinated exposure
Irritable Bowel Syndrome,Disorder,mucus in stool; constipation; bloating; abdominal pain; gas; seizures; tooth pain,Medium,Gut-brain axis dysfunction; Infections; Food intolerances; Stress; Genetic factors; Gut microbiota changes
Obsessive-Compulsive Disorder,Disorder,pancreatitis; distress; time-consuming rituals; interference with daily life; compulsions; prosthenorchis; Buerger disease,Medium,Genetic factors; Brain chemistry; Learning experiences; Stress; Trauma; Infections
Urinary Tract Infection,Bacteria,fever; burning sensation; frequent urination; dipylidiasis; cloudy urine; pelvic pain; strong urine odor,Medium,E. coli bacteria; Poor hygiene; Sexual activity; Catheter use
Chronic Obstructive Pulmonary Disease,Disease,leg pain; osteomyelitis; shortness of breath; wheezing; chest tightness; frequent respiratory infections; fatigue,High,Smoking; Air pollution; Genetic factors; Occupational exposure; Respiratory infections
Parkinson's Disease,Disease,stiffness; postural instability; bradykinesia; tremor; itching; strains; difficulty walking; speech changes; melena,High,Genetic factors; Age; Environmental toxins; Head trauma; Vascular disease
Dyscalculia,Disorder,memory issues with numbers; math difficulties; calculation errors; difficulty understanding math concepts; poor spatial reasoning; number sense problems,Low,Genetic factors; Brain structure differences; Prenatal exposure; Learning experiences; Neurological factors
Diabetes Type 2,Disease,fatigue; frequent infections; blurred vision; hyperglycemia; increased thirst; slow-healing sores; increased hunger; frequent urination,Medium,Insulin resistance; Genetic factors; Obesity; Sedentary lifestyle; Poor diet
Hepatitis B,Virus,cirrhosis; gout; dark urine; abdominal pain; jaundice; nausea; oncicola,High,Hepatitis B virus; Blood contact; Sexual transmission; Mother-to-child
Rubella,Virus,swollen lymph nodes; rash; runny nose; headache; uremia; joint pain; fever; ulcer; meniscus tear,Medium,Rubella virus; Airborne transmission; Congenital transmission
Asthma,Disease,wheezing; coughing; ascariasis; difficulty sleeping; shortness of breath; fatigue; chest tightness,Medium,Genetic factors; Allergens; Air pollution; Respiratory infections; Exercise; Stress
Chronic Obstructive Pulmonary Disease,Disease,shortness of breath; fatigue; gynecomastia; chronic cough; chest tightness; growth hormone deficiency; encephalitis; frequent respiratory infections,High,Smoking; Air pollution; Genetic factors; Occupational exposure; Respiratory infections
Anxiety Disorder,Disease,fatigue; moniliformis; difficulty concentrating; bronchitis; irritability; psoriasis; muscle tension; excessive worry; restlessness,Medium,Genetic factors; Brain chemistry; Stress; Trauma; Medical conditions; Substance abuse
Hepatitis C,Virus,loss of appetite; abdominal pain; encephalopathy; fatigue; jaundice; nausea; joint pain,Medium,Hepatitis C virus; Blood contact; Shared needles; Healthcare exposure
Autism Spectrum Disorder,Disorder,delayed language development; linstowia; restricted interests; social communication difficulties; takotsubo cardiomyopathy; repetitive behaviors,Medium,Genetic factors; Environmental factors; Prenatal exposure; Complications during pregnancy; Advanced parental age
Autism Spectrum Disorder,Disorder,repetitive behaviors; delayed language development; restricted interests; pericardial effusion; social communication difficulties; sensory sensitivities,Medium,Genetic factors; Environmental factors; Prenatal exposure; Complications during pregnancy; Advanced parental age
Norovirus,Virus,nausea; stomach cramps; osteomyelitis; fever; vomiting; headache,Medium,Norovirus infection; Contaminated food/water; Person-to-person contact
Schizophrenia,Disorder,negative symptoms; delusions; thrombocytosis; emotional flatness; cognitive difficulties; disorganized thinking,High,Genetic factors; Brain chemistry; Brain structure; Stress; Drug use; Prenatal complications
Dyscalculia,Disorder,difficulty understanding math concepts; number sense problems; dipylidiasis; poor spatial reasoning; memory issues with numbers; schistosomiasis; calculation errors; math difficulties; amebiasis,Low,Genetic factors; Brain structure differences; Prenatal exposure; Learning experiences; Neurological factors
Mumps,Virus,loss of appetite; fatigue; swollen salivary glands; headache; fever; muscle pain; dialysis,Medium,Mumps virus; Airborne transmission; Saliva contact
Tetanus,Bacteria,fever; muscle stiffness; sweating; lockjaw; muscle spasms; difficulty swallowing; chronic renal failure,High,Clostridium tetani; Wound contamination; Soil exposure; Rust exposure
Epilepsy,Disease,loss of consciousness; compartment syndrome; confusion; fatigue; convulsions; headache; seizures,High,Genetic factors; Brain injury; Infections; Stroke; Brain tumors; Developmental disorders
Sickle Cell Anemia,Disorder,pain crises; meniscus tear; shortness of breath; jaundice; delayed growth; frequent infections; fatigue,High,Genetic mutation; Inherited from both parents; African ancestry; Mediterranean ancestry
Fibromyalgia,Disorder,linstowia; cognitive difficulties; sleep disturbances; widespread pain; headaches; fatigue,Medium,Genetic factors; Infections; Physical trauma; Stress; Abnormal pain processing; Hormonal changes
Post-Traumatic Stress Disorder,Disorder,back pain; hypervigilance; emotional numbness; avoidance; adrenal insufficiency; flashbacks; nightmares; irritability; guillain-barre syndrome,High,Traumatic events; Severe stress; Genetic factors; Brain chemistry changes; Lack of social support
Syphilis,Bacteria,deep vein thrombosis; rash; neurological symptoms; fatigue; hair loss; chancre sore,High,Treponema pallidum; Sexual transmission; Congenital transmission
Parkinson's Disease,Disease,speech changes; bradykinesia; tremor; WPW syndrome; stiffness; difficulty walking,High,Genetic factors; Age; Environmental toxins; Head trauma; Vascular disease
Lyme Disease,Bacteria,necrosis; fatigue; fever; swollen lymph nodes; muscle pain; joint pain; elephantiasis; granulosus,Medium,Borrelia burgdorferi; Tick bite; Deer tick transmission
Multiple Sclerosis,Disease,bladder problems; fatigue; arrhythmias; weakness; dizziness; difficulty walking; vision problems,High,Autoimmune disorder; Genetic factors; Environmental factors; Vitamin D deficiency; Smoking
Chickenpox,Virus,rash; fever; itching; fatigue; blisters; loss of appetite; pleurisy,Medium,Varicella-zoster virus; Airborne transmission; Direct contact
Zika Virus,Virus,fever; joint pain; headache; rheumatic fever; conjunctivitis; rash; muscle pain,Medium,Zika virus; Mosquito transmission; Sexual transmission
Epilepsy,Disease,convulsions; polycythemia; loss of consciousness; seizures; headache; confusion; fatigue,High,Genetic factors; Brain injury; Infections; Stroke; Brain tumors; Developmental disorders
Autism Spectrum Disorder,Disorder,restricted interests; repetitive behaviors; schistosomiasis; social communication difficulties; sensory sensitivities; sound sensitivity; delayed language development; sensitivity to touch,Medium,Genetic factors; Environmental factors; Prenatal exposure; Complications during pregnancy; Advanced parental age
Sickle Cell Anemia,Disorder,Raynaud phenomenon; frequent infections; gigantorhynchus; delayed growth; hearing loss; fatigue; pain crises; jaundice,High,Genetic mutation; Inherited from both parents; African ancestry; Mediterranean ancestry
COVID-19,Virus,shortness of breath; body aches; headache; fatigue; cough; loss of taste/smell; fever,High,SARS-CoV-2 virus; Respiratory transmission; Close contact
Urinary Tract Infection,Bacteria,frequent urination; polycythemia; pelvic pain; strong urine odor; nephrotic syndrome; burning sensation; fever; Buerger disease; cloudy urine,Medium,E. coli bacteria; Poor hygiene; Sexual activity; Catheter use
Rubella,Virus,burning sensation; runny nose; toxoplasmosis; fever; swollen lymph nodes; rash; macracanthorhynchus; headache; joint pain,Medium,Rubella virus; Airborne transmission; Congenital transmission
Chronic Obstructive Pulmonary Disease,Disease,chronic cough; acne; necrosis; frequent respiratory infections; chest tightness; wheezing; shortness of breath; fatigue,High,Smoking; Air pollution; Genetic factors; Occupational exposure; Respiratory infections
Osteoarthritis,Disease,reduced range of motion; cryptosporidiosis; crepitus; joint pain; joint stiffness; joint swelling,Medium,Age; Joint injury; Obesity; Genetic factors; Repetitive joint use
Irritable Bowel Syndrome,Disorder,mucus in stool; constipation; diarrhea; abdominal pain; bloating; myocarditis; gas,Medium,Gut-brain axis dysfunction; Infections; Food intolerances; Stress; Genetic factors; Gut microbiota changes
Restless Legs Syndrome,Disorder,uncomfortable sensations; difficulty swallowing; tooth pain; difficulty concentrating; restrictive cardiomyopathy; urge to move legs; sleep disturbances; daytime fatigue,Low,Genetic factors; Iron deficiency; Pregnancy; Chronic diseases; Medications; Caffeine
Anxiety Disorder,Disease,difficulty concentrating; nausea; restlessness; irritability; excessive worry; fatigue; excessive thirst,Medium,Genetic factors; Brain chemistry; Stress; Trauma; Medical conditions; Substance abuse
Tourette Syndrome,Disorder,obsessive behaviors; schistosomiasis; attention difficulties; motor tics; epistaxis; involuntary movements; involuntary sounds,Medium,Genetic factors; Brain chemistry; Environmental factors; Complications during pregnancy; Infections
Epilepsy,Disease,seizures; fatigue; headache; acromegaly; confusion; loss of consciousness; convulsions,High,Genetic factors; Brain injury; Infections; Stroke; Brain tumors; Developmental disorders
Restless Legs Syndrome,Disorder,septic arthritis; respiratory alkalosis; urge to move legs; uncomfortable sensations; difficulty concentrating; daytime fatigue; sleep disturbances; worse at night; multiceps,Low,Genetic factors; Iron deficiency; Pregnancy; Chronic diseases; Medications; Caffeine
Dengue,Virus,bleeding; thysaniezia; joint pain; severe headache; rash; gynecomastia; muscle pain; high fever; pain behind eyes,High,Dengue virus; Mosquito transmission; Aedes mosquito bite
Tuberculosis,Bacteria,coughing blood; persistent cough; chest pain; weight loss; COPD; night sweats; fever,High,Mycobacterium tuberculosis; Airborne transmission; Close contact with infected person
Urinary Tract Infection,Bacteria,pelvic pain; cardiomyopathy; fever; strong urine odor; tendon rupture; edema; cloudy urine; burning sensation,Medium,E. coli bacteria; Poor hygiene; Sexual activity; Catheter use
Hypertension,Disease,blurred vision; nosebleeds; chest pain; hernias; shortness of breath; dry mouth; headache; dizziness,Medium,Genetic factors; Obesity; High salt intake; Stress; Lack of exercise; Smoking
Gonorrhea,Bacteria,abnormal discharge; chest pain; painful urination; rectal pain; pelvic pain; sore throat; testicular pain; peripheral artery disease,Medium,Neisseria gonorrhoeae; Sexual transmission; Mother-to-child during birth
Measles,Virus,dermatitis; red eyes; edema; pleurisy; runny nose; cough; fever; rash,High,Measles virus; Airborne transmission; Unvaccinated exposure
Multiple Sclerosis,Disease,vision problems; dizziness; fatigue; difficulty walking; skin rash; numbness; bladder problems,High,Autoimmune disorder; Genetic factors; Environmental factors; Vitamin D deficiency; Smoking
Anxiety Disorder,Disease,fatigue; irritability; difficulty concentrating; restlessness; excessive worry; muscle tension; hepatitis,Medium,Genetic factors; Brain chemistry; Stress; Trauma; Medical conditions; Substance abuse
Rubella,Virus,runny nose; joint pain; nausea; headache; fever; inermicapsifer; swollen lymph nodes; rash,Medium,Rubella virus; Airborne transmission; Congenital transmission
Multiple Sclerosis,Disease,osteoporosis; numbness; bladder problems; difficulty walking; fatigue; gout; weakness; vision problems; dizziness,High,Autoimmune disorder; Genetic factors; Environmental factors; Vitamin D deficiency; Smoking
COVID-19,Virus,insomnia; fever; loss of taste/smell; shortness of breath; cystitis; cough; fatigue; body aches,High,SARS-CoV-2 virus; Respiratory transmission; Close contact
Rotavirus,Virus,vomiting; abdominal pain; moniezia; severe diarrhea; echinococcosis,High,Rotavirus infection; Fecal-oral transmission; Contaminated surfaces
Depression,Disease,persistent sadness; trypanosomiasis; appetite changes; sleep changes; fatigue; difficulty concentrating,Medium,Genetic factors; Brain chemistry; Stress; Trauma; Medical conditions; Substance abuse
Lyme Disease,Bacteria,fever; bulls-eye rash; abdominal pain; headache; swollen lymph nodes; joint pain; muscle pain,Medium,Borrelia burgdorferi; Tick bite; Deer tick transmission
Anxiety Disorder,Disease,difficulty concentrating; muscle tension; dry mouth; excessive worry; irritability; hemothorax,Medium,Genetic factors; Brain chemistry; Stress; Trauma; Medical conditions; Substance abuse
Diabetes Type 2,Disease,increased thirst; fatigue; increased hunger; linstowia; frequent infections; blurred vision; frequent urination; hematemesis,Medium,Insulin resistance; Genetic factors; Obesity; Sedentary lifestyle; Poor diet
Eating Disorders,Disorder,giardiasis; restrictive eating; body image distortion; binge eating; fear of gaining weight; pyelonephritis; gangrene; purging; obsession with food,High,Genetic factors; Psychological factors; Cultural pressures; Trauma; Low self-esteem; Perfectionism
Tourette Syndrome,Disorder,vocal tics; attention difficulties; involuntary sounds; motor tics; involuntary movements; thalassemia,Medium,Genetic factors; Brain chemistry; Environmental factors; Complications during pregnancy; Infections
Migraine,Disease,fasciolopsiasis; vomiting; severe headache; sensitivity to light; sensitivity to sound; nausea; aura,Medium,Genetic factors; Hormonal changes; Stress; Certain foods; Sleep changes; Environmental factors
Schizophrenia,Disorder,cognitive difficulties; hallucinations; rectal bleeding; emotional flatness; delusions; disorganized thinking; negative symptoms,High,Genetic factors; Brain chemistry; Brain structure; Stress; Drug use; Prenatal complications
Sickle Cell Anemia,Disorder,jaundice; fatigue; shortness of breath; frequent infections; back pain; PCL tear; delayed growth,High,Genetic mutation; Inherited from both parents; African ancestry; Mediterranean ancestry
Ebola,Virus,diarrhea; hemoptysis; metrorrhagia; fever; vomiting; hemorrhage; polycythemia; weakness; severe headache; muscle pain,High,Ebola virus; Contact with infected body fluids; Animal transmission
Chronic Fatigue Syndrome,Disorder,sore throat; severe fatigue; multiceps; sleep problems; post-exertional malaise; cognitive issues; pain,Medium,Viral infections; Immune system issues; Hormonal imbalances; Stress; Genetic factors
Chronic Obstructive Pulmonary Disease,Disease,shortness of breath; anemia; wheezing; chronic cough; brain abscess; chest tightness; aneurysm; frequent respiratory infections,High,Smoking; Air pollution; Genetic factors; Occupational exposure; Respiratory infections
Gonorrhea,Bacteria,sore throat; abnormal discharge; rectal pain; pelvic pain; testicular pain; taste changes; painful urination; varicocele,Medium,Neisseria gonorrhoeae; Sexual transmission; Mother-to-child during birth
Coronary Artery Disease,Disease,burning sensation; fatigue; dizziness; hoarseness; cirrhosis; chest pain; shortness of breath,High,Atherosclerosis; High cholesterol; Hypertension; Smoking; Diabetes; Family history
HIV/AIDS,Virus,fever; weight loss; swollen lymph nodes; night sweats; persistent cough,High,HIV virus infection; Unprotected sex; Shared needles; Mother-to-child transmission
Salmonella,Bacteria,headache; vomiting; diarrhea; acute renal failure; fever; nausea; abdominal cramps,Medium,Salmonella bacteria; Contaminated food; Undercooked poultry/eggs; Poor food handling
Obsessive-Compulsive Disorder,Disorder,interference with daily life; avascular necrosis; echinostomiasis; obsessions; compulsions; distress; irregular heartbeat; time-consuming rituals; anxiety,Medium,Genetic factors; Brain chemistry; Learning experiences; Stress; Trauma; Infections
Pneumonia,Bacteria,raillietina; chest pain; shortness of breath; fatigue; cough; diabetes insipidus; chills; nausea; fever,High,"Bacterial infection (Streptococcus, etc.); Viral infection; Fungal infection; Aspiration"
Mumps,Virus,muscle pain; headache; loss of appetite; cryptosporidiosis; swollen salivary glands; fatigue; sensitivity to touch,Medium,Mumps virus; Airborne transmission; Saliva contact
Tuberculosis,Bacteria,chest pain; nausea; night sweats; schistosomiasis; weight loss; fever; coughing blood; persistent cough; fatigue,High,Mycobacterium tuberculosis; Airborne transmission; Close contact with infected person
Pneumonia,Bacteria,diphyllobothrium; osteomyelitis; fever; shortness of breath; cough; fatigue; chest pain; nausea,High,"Bacterial infection (Streptococcus, etc.); Viral infection; Fungal infection; Aspiration"
Migraine,Disease,severe headache; vision changes; nausea; aura; sensitivity to light; vomiting,Medium,Genetic factors; Hormonal changes; Stress; Certain foods; Sleep changes; Environmental factors
Tetanus,Bacteria,fever; weight gain; difficulty swallowing; lockjaw; anemia; muscle spasms; muscle stiffness; sweating,High,Clostridium tetani; Wound contamination; Soil exposure; Rust exposure
Urinary Tract Infection,Bacteria,frequent urination; pelvic pain; strong urine odor; cloudy urine; fever; hemoptysis; burning sensation,Medium,E. coli bacteria; Poor hygiene; Sexual activity; Catheter use
Gonorrhea,Bacteria,abnormal discharge; painful urination; varices; pelvic pain; sore throat; testicular pain,Medium,Neisseria gonorrhoeae; Sexual transmission; Mother-to-child during birth
Rotavirus,Virus,vomiting; hypertrophic cardiomyopathy; abdominal pain; severe diarrhea; psoriasis; fever; dehydration,High,Rotavirus infection; Fecal-oral transmission; Contaminated surfaces
Attention Deficit Hyperactivity Disorder,Disorder,difficulty following instructions; impulsivity; ascites; hyperactivity; forgetfulness; prosthenorchis; disorganization; inattention,Medium,Genetic factors; Brain structure differences; Environmental factors; Prenatal exposure to toxins; Low birth weight
Measles,Virus,itching; white spots in mouth; rash; cough; amenorrhea; fever; red eyes,High,Measles virus; Airborne transmission; Unvaccinated exposure
Alzheimer's Disease,Disease,difficulty with problem-solving; light sensitivity; confusion; difficulty with familiar tasks; mood changes; disorientation,High,Genetic factors; Age; Family history; Cardiovascular disease; Head trauma; Lifestyle factors
Common Cold,Virus,sneezing; tendon rupture; mild fever; fatigue; cough; runny nose; thrombosis; sore throat; endocarditis,Low,Rhinovirus infection; Multiple viral strains; Airborne or contact transmission
Urinary Tract Infection,Bacteria,strong urine odor; fever; pelvic pain; cloudy urine; burning sensation; menorrhagia,Medium,E. coli bacteria; Poor hygiene; Sexual activity; Catheter use
Ebola,Virus,fever; diarrhea; severe headache; leukocytosis; muscle pain; vomiting; hemorrhage; weakness,High,Ebola virus; Contact with infected body fluids; Animal transmission
Influenza,Virus,abscess; pleural effusion; headache; cough; body aches; fatigue; sore throat,Medium,Influenza virus infection; Seasonal transmission; Airborne droplets
Mumps,Virus,loss of appetite; headache; menorrhagia; fever; fatigue; SIADH; muscle pain; swollen salivary glands,Medium,Mumps virus; Airborne transmission; Saliva contact
Tetanus,Bacteria,fever; metagonimiasis; lockjaw; muscle stiffness; sweating; difficulty swallowing; muscle spasms; giardiasis,High,Clostridium tetani; Wound contamination; Soil exposure; Rust exposure
Post-Traumatic Stress Disorder,Disorder,flashbacks; irritability; nightmares; avoidance; tendon rupture; hypervigilance; emotional numbness,High,Traumatic events; Severe stress; Genetic factors; Brain chemistry changes; Lack of social support
Rotavirus,Virus,severe diarrhea; jaw pain; pulmonary embolism; dehydration; night sweats; vomiting,High,Rotavirus infection; Fecal-oral transmission; Contaminated surfaces
Rheumatoid Arthritis,Disease,weight loss; adrenal insufficiency; fatigue; fever; joint pain; joint stiffness; joint swelling; nausea,Medium,Autoimmune disorder; Genetic factors; Environmental triggers; Hormonal factors; Infections
Gonorrhea,Bacteria,abnormal discharge; hymenolepiasis; pelvic pain; sore throat; testicular pain; rectal pain; painful urination,Medium,Neisseria gonorrhoeae; Sexual transmission; Mother-to-child during birth
Dengue,Virus,joint pain; severe headache; bleeding; taeniasis; pain behind eyes; rash; high fever; muscle pain,High,Dengue virus; Mosquito transmission; Aedes mosquito bite
COVID-19,Virus,body aches; shortness of breath; fatigue; avascular necrosis; loss of taste/smell; cough; fever,High,SARS-CoV-2 virus; Respiratory transmission; Close contact
Strep Throat,Bacteria,pleural effusion; rash; fever; thalassemia; difficulty swallowing; white patches on tonsils,Medium,Streptococcus bacteria; Direct contact; Airborne droplets
Tuberculosis,Bacteria,night sweats; neck pain; fever; coughing blood; persistent cough; fatigue; chest pain; pulmonary embolism,High,Mycobacterium tuberculosis; Airborne transmission; Close contact with infected person
COVID-19,Virus,fever; loss of taste/smell; shortness of breath; multiple sclerosis; cough; varicocele,High,SARS-CoV-2 virus; Respiratory transmission; Close contact
Strep Throat,Bacteria,swollen lymph nodes; fever; skin rash; white patches on tonsils; sore throat; rash; difficulty swallowing,Medium,Streptococcus bacteria; Direct contact; Airborne droplets
Diabetes Type 1,Disease,amenorrhea; slow-healing sores; increased thirst; frequent urination; extreme hunger; fatigue; frequent infections,High,Autoimmune destruction of insulin-producing cells; Genetic predisposition; Environmental triggers
Migraine,Disease,abscess; vomiting; aura; sensitivity to light; depression; nausea; respiratory acidosis; severe headache; sensitivity to sound,Medium,Genetic factors; Hormonal changes; Stress; Certain foods; Sleep changes; Environmental factors
Tuberculosis,Bacteria,lymphedema; persistent cough; coughing blood; weight loss; night sweats; chest pain; painful urination; fever; fatigue,High,Mycobacterium tuberculosis; Airborne transmission; Close contact with infected person
Restless Legs Syndrome,Disorder,purpura; hypoglycemia; daytime fatigue; uncomfortable sensations; difficulty concentrating; worse at night; sleep disturbances,Low,Genetic factors; Iron deficiency; Pregnancy; Chronic diseases; Medications; Caffeine
Obsessive-Compulsive Disorder,Disorder,citotaenia; interference with daily life; obsessions; tendon rupture; distress; time-consuming rituals,Medium,Genetic factors; Brain chemistry; Learning experiences; Stress; Trauma; Infections
Tourette Syndrome,Disorder,motor tics; involuntary movements; obsessive behaviors; involuntary sounds; vocal tics; attention difficulties; hemorrhoids,Medium,Genetic factors; Brain chemistry; Environmental factors; Complications during pregnancy; Infections
Salmonella,Bacteria,headache; vomiting; brain abscess; fever; nausea; back pain; abdominal cramps; diarrhea; jaundice,Medium,Salmonella bacteria; Contaminated food; Undercooked poultry/eggs; Poor food handling
